//*[contains(text(),"Player Profile")]/../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
/HTML/BODY[1]/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/text()[1]
245 2299
//*[contains(text(),"QUICK FACTS")]/../../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
2121 2299
//*[contains(text(),"Hometown")]/../../../H1[1]/TEXT()[1]
1111 2299
//*[contains(text(),"Photos")]/../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"Grand Slam History")]/../../../../../../DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"366-256")]/../../../../../DIV[1]/H1[1]/TEXT()[1]
2298 2299
//*[contains(text(),"if('undefined'!=typeof ad_kvps&&'undefined'!=typeof ad_u&&'undefined'!=typeof ad_counter&&'undefined'!=typeof ad_ord){if('undefined'==typeof ad_site||'undefined'==typeof ad_zone)var ad_site='espn.us.com.tennis',ad_zone='tennisplayer';var ad_finalString='http://ad.Doubleclick.net/adj/'+ad_site+'/'+ad_zone+';'+ad_kvps+'pos=Banner;'+ad_u+'sz=728x90,970x66,924x50,1x1;tile='+ad_counter+';ord='+ad_ord;document.write('<div data-cb-ad-id='Banner' data-cb-dfp-id=''+ad_kvps+'sz=728x90,970x66,924x50,1x1'><script src='+ad_finalString+'>\x3c/script></div>');ad_counter++};")]/../../../../following-sibling::*[1]/DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
2299 2299
//*[contains(text(),"Schedule/Results")]/../../../../../../DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"1")]/../../../../../DIV[1]/H1[1]/TEXT()[1]
1533 2299
//*[contains(text(),".videoplayer-show{ height: 217px !important; } .mod-inline.video-player.full-box { padding: 1px; }.mod-video-playlist {border-width: 0px; width: 384px; margin: 0 0 10px; 0; float: none; }.mod-video-playlist a, .mod-video-tags a { color: #225DB7; }.mod-inline.video-player.with-playlist #videoInfo { width:384px; }")]/../../../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
2289 2299
//*[contains(text(),"News Wire")]/../../../../../../DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"US Open")]/../../../../../../DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"TV")]/../../../../../../DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"7")]/../../../../../DIV[1]/H1[1]/TEXT()[1]
2013 2299
//*[contains(text(),"0")]/../../../../../DIV[1]/H1[1]/TEXT()[1]
1098 2299
//*[contains(text(),"183 lbs.")]/../../H1[1]/TEXT()[1]
2285 2299
//*[contains(text(),"USA")]/../../H1[1]/TEXT()[1]
2057 2299
//*[contains(text(),"if('undefined'!=typeof ad_kvps&&'undefined'!=typeof ad_u&&'undefined'!=typeof ad_counter&&'undefined'!=typeof ad_ord){if('undefined'==typeof ad_site||'undefined'==typeof ad_zone)var ad_site='espn.us.com.tennis',ad_zone='tennisplayer';var ad_finalString='http://ad.Doubleclick.net/adj/'+ad_site+'/'+ad_zone+';'+ad_kvps+'pos=InContent;'+ad_u+'dcopt=ist;sz=300x600,300x250,1x1;tile='+ad_counter+';ord='+ad_ord;document.write('<div data-cb-ad-id='InContent' data-cb-dfp-id=''+ad_kvps+'sz=300x600,300x250,1x1'><script src='+ad_finalString+'>\x3c/script></div>');ad_counter++};")]/../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
2299 2299
//*[@id='content']/DIV[3]/DIV[1]/DIV[1]/H1[1]/text()
245 2299
//*[contains(text(),"Height")]/../../../H1[1]/TEXT()[1]
1845 2299
//*[contains(text(),"#100")]/../../../../../../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
2284 2299
//*[contains(text(),"December 28, 1979 (Age: 33)")]/../../H1[1]/TEXT()[1]
2298 2299
//*[contains(text(),"SINGLES W-L")]/../../../../../DIV[1]/H1[1]/TEXT()[1]
1071 2299
//*[contains(text(),"SINGLES TITLES")]/../../../../../DIV[1]/H1[1]/TEXT()[1]
1071 2299
//*[@id='subheader']/DIV[1]/DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/text()
245 2299
//*[contains(text(),"Customize »")]/../../../../../../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"DOUBLES TITLES")]/../../../../../DIV[1]/H1[1]/TEXT()[1]
1071 2299
//*[contains(text(),"Players")]/../../../../../../DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),".mod-header-no-headshot.mod-page-header ul.player-favorites li { margin: 0 0 0 6px !important; }.mod-header-no-headshot.flag .mod-content .player-bio img { margin-top: 16px; }")]/following-sibling::*[1]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"STATS")]/../../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"MyESPN")]/../../../../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"Rankings")]/../../../../../../DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//DIV[@class='bg-elements']/DIV[2]/DIV[1]/DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/text()[1]
245 2299
//*[contains(text(),"Tennis Home")]/../../../../../../DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//DIV[@class='player-bio']/H1[1]/text()[1]
245 2299
//*[contains(text(),"Forums")]/../../../../../../DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"9-14")]/../../../../../DIV[1]/H1[1]/TEXT()[1]
2297 2299
//*[contains(text(),"Scores")]/../../../../../../DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//BODY[@class='tennis {sportId:850} tier3 player-card usa']/DIV[2]/DIV[2]/DIV[1]/DIV[2]/DIV[3]/DIV[1]/DIV[1]/H1[1]/text()[1]
2061 2299
//*[contains(text(),"Videos")]/../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
245 2299
//*[contains(text(),"PREVIOUS TOURNAMENT")]/../../../../../../../../DIV[3]/DIV[1]/DIV[1]/H1[1]/TEXT()[1]
1551 2299
